Type,From,To
Hosted-on,Cosmetics Service,AWS Compute Services
Hosted-on,Achievement Service,AWS DynamoDB
Hosted-on,Achievement Service,AWS Compute Services
Hosted-on,Cloud Save Service,AWS S3 Storage
Hosted-on,Cloud Save Service,AWS Compute Services
Hosted-on,Live Events Service,AWS Compute Services
Hosted-on,Content Delivery Service,AWS CloudFront
Hosted-on,Asset Service,AWS S3 Storage
Hosted-on,Game Update Service,AWS S3 Storage
Hosted-on,Tournament Service,AWS Compute Services
Hosted-on,Leaderboard Service,AWS ElastiCache Single Node
Hosted-on,Leaderboard Service,AWS Compute Services
Hosted-on,Player Stats Service,AWS Aurora Single Region
Hosted-on,Player Stats Service,AWS Compute Services
Hosted-on,Replay Service,AWS S3 Storage
Hosted-on,Moderation Service,AWS Compute Services
Hosted-on,Telemetry Collector,AWS Kinesis Stream
Hosted-on,Analytics Pipeline,AWS Compute Services
Hosted-on,Event Bus,AWS EventBridge
Hosted-on,Config Service,AWS Compute Services
Hosted-on,Feature Flags,AWS Compute Services
Hosted-on,Secret Management,AWS Secrets Manager
Hosted-on,Log Aggregation,AWS CloudWatch
Hosted-on,Monitoring Service,Datadog Pro
Hosted-on,Incident Alert Service,PagerDuty
