Provider,Service/Tier,Score,Rationale
Azure,Cosmos DB (single region),0.78,Managed NoSQL multi-model
Azure,Cosmos DB (multi-region writes),0.92,Active-active multi-region tunable consistency
GCP,GCE VM (single zone),0.50,Standard single-zone risk
GCP,GCE Managed Instance Group (multi-zone),0.75,Auto-healing load-balanced multi-zone
GCP,Cloud Run,0.78,Serverless containers fast scale per-region
GCP,GKE Standard (multi-zone),0.75,Managed Kubernetes strong ecosystem
GCP,GKE Autopilot,0.78,Fully managed nodes security hardened by default
GCP,Cloud SQL (single zone),0.45,No HA by default
GCP,Cloud SQL (HA),0.68,Synchronous standby automatic failover
GCP,Cloud Spanner,0.92,Globally distributed strong consistency 99.999% SLA
GCP,Firestore,0.82,Multi-region serverless NoSQL
GCP,Cloud Pub/Sub,0.82,Global replicated at-least-once delivery
MongoDB Atlas,M10/M20 (single region),0.55,Small dedicated clusters no redundancy
MongoDB Atlas,M30+ replica set,0.72,3-node replica set automatic failover
MongoDB Atlas,Global Clusters,0.88,Zone-sharded multi-region reads/writes
PlanetScale,Scaler,0.75,Vitess-based branching non-blocking schema changes
Supabase,Pro,0.62,Managed Postgres good DX but single-region
Vercel,Hobby,0.50,No SLA shared infrastructure
Vercel,Pro/Enterprise,0.72,Edge network preview deployments SLA on Enterprise
Fastly,CDN,0.83,High-performance edge strong SLA instant purge
Akamai,CDN,0.85,Largest CDN footprint enterprise-grade SLA
Twilio,Messaging/Voice,0.72,99.95% SLA redundant carriers
SendGrid/Mailgun,Managed Email,0.65,Managed email delivery IP reputation dependent
Auth0,B2C,0.72,Managed identity 99.9% SLA
Auth0,Enterprise/Private Cloud,0.85,Dedicated infrastructure higher SLA
Stripe,Payment Processing,0.88,99.9999% historical uptime redundant processing
PagerDuty,Incident Management,0.80,Multi-region high availability
AWS Storage,S3 Glacier Instant Retrieval,0.50,Archive tier with millisecond retrieval; not suitable for real-time primary storage
AWS Storage,S3 One Zone-IA,0.55,Single AZ; 99.5% availability SLA; appropriate only for reproducible or secondary data
AWS Storage,S3 Intelligent-Tiering,0.83,Same 11 9s durability and 99.99% availability as Standard; auto cost-tiering with no retrieval penalties
AWS Storage,S3 Standard,0.85,11 9s durability; 99.99% availability SLA; multi-AZ by default; versioning and cross-region replication available
AWS Outposts,Outposts Servers,0.62,Smaller 1U/2U form factor; less internal redundancy; inherits all premises power and uplink dependency risk
AWS Outposts,Outposts Rack,0.72,Full AWS infrastructure at on-premises or edge location; local latency advantage but dependent on premises power and uplink connectivity
Amazon GameLift,GameLift Anywhere,0.65,Orchestration layer on custom compute; session management handled by GameLift but resilience depends entirely on underlying hardware
Amazon GameLift,GameLift (single region),0.72,Managed game server lifecycle with auto-scaling and session-based allocation; single-region failure risk
Amazon GameLift,GameLift (multi-region FleetIQ),0.82,Cross-region fleet with Spot and On-Demand mix; automatic regional failover; optimizes for both cost and latency
AWS Security,Shield Standard,0.60,Always-on L3/L4 DDoS detection included free; no SLA and no access to dedicated DDoS Response Team
AWS Security,WAF (Managed Rules),0.75,OWASP top-10 protection on ALB/CloudFront/API Gateway; managed rule updates; can generate false positives requiring tuning
AWS Security,Secrets Manager,0.80,Automatic secret rotation; cross-region replication; fine-grained IAM; CloudTrail audit trail
AWS Security,Shield Advanced,0.87,SLA-backed 24/7 DDoS Response Team; financial cost protection; integrates with WAF and Route 53 health-based routing
AWS Observability,OpenSearch (single AZ),0.55,Powerful log analytics and full-text search; single AZ is a SPOF for operational visibility during incidents
AWS Observability,CloudWatch (standard),0.72,Native AWS metrics/logs/alarms with 15-month retention; tightly integrated but less flexible dashboards than third-party
AWS Observability,CloudWatch (Container Insights),0.75,EKS/ECS-specific auto-discovered metrics and dashboards; multi-AZ native; enhanced container and pod-level visibility
AWS Observability,OpenSearch (multi-AZ with standby),0.75,Three-AZ deployment with dedicated standby; 99.99% SLA; automatic failover; suitable for production log analytics
Datadog,Pro,0.75,Full-stack observability across metrics/logs/traces; 99.9% SLA; 15-month metric retention; multi-cloud support
Datadog,Enterprise,0.82,SAML SSO; unlimited custom metrics; dedicated support; higher SLA commitments; audit trail and compliance features
Private Network,Co-location (single DC),0.45,Single physical data center; complete service loss on facility failure; hardware refresh and power fully on operator
Private Network,Co-location (multi-DC),0.70,Multiple physical facilities with cross-DC redundancy; hardware-dependent reliability; manual or scripted failover typically required
Private Network,Private BGP (single PoP),0.65,Single point of presence with direct ISP peering; routing control advantage but no geographic redundancy
Private Network,Private BGP (multi-PoP),0.85,Custom-operated BGP network with multiple geographically distributed PoPs; direct ISP peering; full routing control at the cost of significant operational overhead
Riot Network,Riot Direct BGP,0.85,Privately-operated anycast BGP network with direct ISP peering across global PoPs; full routing control; requires significant operational overhead
Custom DNS,Self-managed (single region),0.40,Single-region self-operated DNS; no 100% SLA; manual failover; historically prone to ISP resolver compatibility issues
Custom DNS,Self-managed (multi-region),0.60,Multi-region self-operated DNS with geographic redundancy; improved failover but still requires manual intervention
